ArtSimpleExample,0,Lazy_1,painting19,-45733636,-467.6697551020408
ArtSimpleExample,0,Lazy_1,painting18,24490253,582.1012619047619
ArtSimpleExample,0,Lazy_1,painting17,36999843,577.122546875
ArtSimpleExample,0,Lazy_1,painting16,3831825,146.3778846153846
ArtSimpleExample,0,Lazy_1,painting15,418340,45.48222222222222
ArtSimpleExample,0,Lazy_1,painting14,-15613600,-214.8849315068493
ArtSimpleExample,0,Lazy_1,painting13,-37644962,-377.44962
ArtSimpleExample,0,Lazy_1,painting12,6477741,646.7741
ArtSimpleExample,0,Lazy_1,painting11,-4699097,-224.76652380952382
ArtSimpleExample,0,Lazy_1,painting10,-64921824,-878.3219459459459
ArtSimpleExample,0,Lazy_1,painting9,8043388,186.05553488372092
ArtSimpleExample,0,Lazy_1,painting8,-27823534,-300.17778494623656
ArtSimpleExample,0,Lazy_1,painting7,37827349,424.026393258427
ArtSimpleExample,0,Lazy_1,painting6,6196358,205.54526666666666
ArtSimpleExample,0,Lazy_1,painting5,116109,7.2935
ArtSimpleExample,0,Lazy_1,painting4,84816915,951.9990449438202
ArtSimpleExample,0,Lazy_1,painting3,-47968398,-706.4176176470588
ArtSimpleExample,0,Lazy_1,painting2,-6730290,-72.59882978723404
ArtSimpleExample,0,Lazy_1,painting1,47749966,1084.2265
ArtSimpleExample,0,Lazy_1,painting0,64372854,880.8199178082192
ArtSimpleExample,0,Lazy_2,painting31,22798482,517.1473181818182
ArtSimpleExample,0,Lazy_2,painting30,-55128306,-1021.8945555555556
ArtSimpleExample,0,Lazy_2,painting29,18204111,235.41702597402596
ArtSimpleExample,0,Lazy_2,painting28,135977,1.2662833333333334
ArtSimpleExample,0,Lazy_2,painting27,-72158667,-950.4561447368421
ArtSimpleExample,0,Lazy_2,painting26,5970690,164.8525
ArtSimpleExample,0,Lazy_2,painting25,33970170,538.2090476190476
ArtSimpleExample,0,Lazy_2,painting24,-46196353,-497.73497849462365
ArtSimpleExample,0,Lazy_2,painting23,-7574337,-146.66032692307692
ArtSimpleExample,0,Lazy_2,painting22,-6023585,-178.16426470588235
ArtSimpleExample,0,Lazy_2,painting21,-34652340,-394.7765909090909
ArtSimpleExample,0,Lazy_2,painting20,-3291750,-659.35
ArtSimpleExample,0,Lazy_2,painting39,-36795614,-423.938091954023
ArtSimpleExample,0,Lazy_2,painting38,-2313970,-145.623125
ArtSimpleExample,0,Lazy_2,painting37,-7829938,-109.7491388888889
ArtSimpleExample,0,Lazy_2,painting36,-45995103,-708.6169692307692
