ArtSimpleExample,2,FordPrefect,Opinion Earnings,380.0
ArtSimpleExample,2,ForTrust,Opinion-Sensing Costs,-129.0
ArtSimpleExample,2,ForTrust,Opinion Costs,-390.0
ArtSimpleExample,2,ForTrust,Certainty Costs,-6.0
ArtSimpleExample,2,ForTrust,Client Earnings,2100.0
ArtSimpleExample,2,ForTrust,Certainty Earnings,2.0
ArtSimpleExample,2,ForTrust,Opinion Earnings,430.0
ArtSimpleExample,2,Connected,Opinion-Sensing Costs,-103.40756302521008
ArtSimpleExample,2,Connected,Opinion Costs,-300.0
ArtSimpleExample,2,Connected,Certainty Costs,-80.0
ArtSimpleExample,2,Connected,Client Earnings,1500.0
ArtSimpleExample,2,Connected,Certainty Earnings,12.0
ArtSimpleExample,2,Connected,Opinion Earnings,240.0
ArtSimpleExample,2,Honest,Opinion-Sensing Costs,-400.0
ArtSimpleExample,2,Honest,Opinion Costs,-280.0
ArtSimpleExample,2,Honest,Certainty Costs,-80.0
ArtSimpleExample,2,Honest,Client Earnings,2800.0
ArtSimpleExample,2,Honest,Certainty Earnings,20.0
ArtSimpleExample,2,Honest,Opinion Earnings,500.0
ArtSimpleExample,2,Uno,Opinion-Sensing Costs,-168.0
ArtSimpleExample,2,Uno,Opinion Costs,-650.0
ArtSimpleExample,2,Uno,Client Earnings,3300.0
ArtSimpleExample,2,Uno,Certainty Earnings,22.0
ArtSimpleExample,2,Uno,Opinion Earnings,420.0
ArtSimpleExample,3,Cheating,Opinion-Sensing Costs,-0.01900000000000001
ArtSimpleExample,3,Cheating,Opinion Costs,-150.0
ArtSimpleExample,3,Cheating,Client Earnings,1800.0
ArtSimpleExample,3,Cheating,Opinion Earnings,190.0
ArtSimpleExample,3,Next,Opinion-Sensing Costs,-136.66666666666663
ArtSimpleExample,3,Next,Opinion Costs,-320.0
ArtSimpleExample,3,Next,Client Earnings,2000.0
ArtSimpleExample,3,Next,Certainty Earnings,14.0
ArtSimpleExample,3,Next,Opinion Earnings,410.0
ArtSimpleExample,3,FordPrefect,Opinion-Sensing Costs,-131.0
ArtSimpleExample,3,FordPrefect,Opinion Costs,-130.0
ArtSimpleExample,3,FordPrefect,Certainty Costs,-24.0
ArtSimpleExample,3,FordPrefect,Client Earnings,1200.0
ArtSimpleExample,3,FordPrefect,Opinion Earnings,350.0
ArtSimpleExample,3,ForTrust,Opinion-Sensing Costs,-84.0
ArtSimpleExample,3,ForTrust,Opinion Costs,-530.0
ArtSimpleExample,3,ForTrust,Certainty Costs,-6.0
ArtSimpleExample,3,ForTrust,Client Earnings,2800.0
ArtSimpleExample,3,ForTrust,Certainty Earnings,20.0
ArtSimpleExample,3,ForTrust,Opinion Earnings,280.0
ArtSimpleExample,3,Connected,Opinion-Sensing Costs,-137.4033633445378
ArtSimpleExample,3,Connected,Opinion Costs,-400.0
ArtSimpleExample,3,Connected,Certainty Costs,-20.0
ArtSimpleExample,3,Connected,Client Earnings,2000.0
ArtSimpleExample,3,Connected,Certainty Earnings,24.0
ArtSimpleExample,3,Connected,Opinion Earnings,340.0
ArtSimpleExample,3,Honest,Opinion-Sensing Costs,-264.0
ArtSimpleExample,3,Honest,Opinion Costs,-180.0
ArtSimpleExample,3,Honest,Certainty Costs,-34.0
ArtSimpleExample,3,Honest,Client Earnings,1800.0
ArtSimpleExample,3,Honest,Certainty Earnings,2.0
ArtSimpleExample,3,Honest,Opinion Earnings,330.0
ArtSimpleExample,3,Uno,Opinion-Sensing Costs,-104.0
ArtSimpleExample,3,Uno,Opinion Costs,-450.0
ArtSimpleExample,3,Uno,Client Earnings,2300.0
ArtSimpleExample,3,Uno,Certainty Earnings,24.0
ArtSimpleExample,3,Uno,Opinion Earnings,260.0
ArtSimpleExample,4,Cheating,Opinion Costs,-20.0
ArtSimpleExample,4,Cheating,Client Earnings,200.0
ArtSimpleExample,4,Next,Opinion-Sensing Costs,-139.99999999999997
ArtSimpleExample,4,Next,Opinion Costs,-60.0
ArtSimpleExample,4,Next,Client Earnings,300.0
ArtSimpleExample,4,Next,Certainty Earnings,24.0
ArtSimpleExample,4,Next,Opinion Earnings,420.0
ArtSimpleExample,4,FordPrefect,Opinion-Sensing Costs,-192.0
ArtSimpleExample,4,FordPrefect,Opinion Costs,-230.0
ArtSimpleExample,4,FordPrefect,Certainty Costs,-46.0
ArtSimpleExample,4,FordPrefect,Client Earnings,2300.0
ArtSimpleExample,4,FordPrefect,Certainty Earnings,24.0
ArtSimpleExample,4,FordPrefect,Opinion Earnings,520.0
ArtSimpleExample,4,ForTrust,Opinion-Sensing Costs,-111.5
ArtSimpleExample,4,ForTrust,Opinion Costs,-700.0
ArtSimpleExample,4,ForTrust,Certainty Costs,-14.0
ArtSimpleExample,4,ForTrust,Client Earnings,4100.0
ArtSimpleExample,4,ForTrust,Certainty Earnings,20.0
ArtSimpleExample,4,ForTrust,Opinion Earnings,380.0
ArtSimpleExample,4,Connected,Opinion-Sensing Costs,-126.29411864705882
ArtSimpleExample,4,Connected,Opinion Costs,-720.0
ArtSimpleExample,4,Connected,Certainty Costs,-80.0
ArtSimpleExample,4,Connected,Client Earnings,3600.0
ArtSimpleExample,4,Connected,Certainty Earnings,4.0
ArtSimpleExample,4,Connected,Opinion Earnings,250.0
ArtSimpleExample,4,Honest,Opinion-Sensing Costs,-344.0
ArtSimpleExample,4,Honest,Opinion Costs,-20.0
ArtSimpleExample,4,Honest,Certainty Costs,-4.0
ArtSimpleExample,4,Honest,Client Earnings,200.0
ArtSimpleExample,4,Honest,Opinion Earnings,430.0
ArtSimpleExample,4,Uno,Opinion-Sensing Costs,-148.0
ArtSimpleExample,4,Uno,Opinion Costs,-620.0
ArtSimpleExample,4,Uno,Client Earnings,3300.0
ArtSimpleExample,4,Uno,Certainty Earnings,72.0
ArtSimpleExample,4,Uno,Opinion Earnings,370.0
ArtSimpleExample,5,Cheating,Client Earnings,100.0
