ArtSimpleExample,0,Cheating,2133.974999999995,20.0,0.07246535815273485,0.6786518703535777
ArtSimpleExample,0,Next,1912.6666666666697,20.0,-31.69856741139497,260.88338372956906
ArtSimpleExample,0,FordPrefect,1939.0,20.0,0.014957156374887527,0.9202106171850052
ArtSimpleExample,0,ForTrust,2019.0,20.0,-1.0,0.0
ArtSimpleExample,0,Connected,1742.3452565236626,20.0,-5.1491609196172154,184.85980176686056
ArtSimpleExample,0,Honest,1834.0,20.0,-0.2856928869929306,0.8679083403425053
ArtSimpleExample,0,Uno,1656.0,20.0,0.22074131087480686,0.9537191728054635
ArtSimpleExample,1,Cheating,5523.953999999991,34.0,-968.814411523398,4171.664730949122
ArtSimpleExample,1,Next,2203.333333333334,2.0,-0.03839596774193546,0.6128437447803389
ArtSimpleExample,1,FordPrefect,4628.0,30.0,-115.98070868893237,371.8339719402462
ArtSimpleExample,1,ForTrust,3928.0,19.0,-0.19126842438919897,1.0690553730474537
ArtSimpleExample,1,Connected,2196.4523973808055,2.0,1.0488170731707318,1.1938549442457655
ArtSimpleExample,1,Honest,4138.0,26.0,0.35405155631749,0.7865994494612968
ArtSimpleExample,1,Uno,3778.0,25.0,-0.05367413150024092,0.6806823882980465
ArtSimpleExample,2,Cheating,5793.953999999991,3.0,-0.544612841393212,0.8605823744403593
ArtSimpleExample,2,Next,5468.000000000009,36.0,-0.015338403176181114,0.7833705047997518
ArtSimpleExample,2,FordPrefect,5212.0,3.0,0.5491964912280701,1.3502610121614451
ArtSimpleExample,2,ForTrust,5935.0,21.0,-0.17318251650261884,0.5000517080643384
ArtSimpleExample,2,Connected,3465.044834355595,15.0,-0.24923532776528737,0.6042376177222214
ArtSimpleExample,2,Honest,6698.0,28.0,0.20626760294033794,0.7850035887953203
ArtSimpleExample,2,Uno,6702.0,33.0,-0.14940004602420504,0.69804862804576
ArtSimpleExample,3,Cheating,7633.934999999987,18.0,4587.960986988027,17788.87453158895
ArtSimpleExample,3,Next,7435.333333333355,20.0,14.055314915534115,63.16468754273263
ArtSimpleExample,3,FordPrefect,6477.0,12.0,-0.2231571584854978,1.080815129719878
ArtSimpleExample,3,ForTrust,8415.0,28.0,-0.12664036471528564,0.6215318334213988
ArtSimpleExample,3,Connected,5271.641471011054,20.0,-0.008353283358921795,0.7404603356360815
ArtSimpleExample,3,Honest,8352.0,18.0,-167.26888372070295,350.6567751454524
ArtSimpleExample,3,Uno,8732.0,23.0,-0.003280539184904148,0.7751214804967315
ArtSimpleExample,4,Cheating,7813.934999999987,2.0,-1387.4760313451006,1960.4587984069478
ArtSimpleExample,4,Next,7979.333333333368,3.0,-0.31572259325304736,0.3312396603725839
ArtSimpleExample,4,FordPrefect,8853.0,23.0,-0.1435920122557295,0.9778583233582843
ArtSimpleExample,4,ForTrust,12089.5,41.0,-0.4581036978213824,0.7951027467862499
ArtSimpleExample,4,Connected,8199.347352363995,36.0,-0.1620208465262078,0.669914341418122
ArtSimpleExample,4,Honest,8614.0,2.0,-0.36259943977591036,0.08913506825478158
ArtSimpleExample,4,Uno,11706.0,33.0,0.2557123623835481,0.6670713196282299
ArtSimpleExample,5,Cheating,7913.934999999987,1.0,-1.0,0.0
ArtSimpleExample,5,Next,10774.000000000018,30.0,0.011159307676205986,0.46823699826057974
ArtSimpleExample,5,FordPrefect,10369.0,15.0,-0.01601489315186706,0.9176821220938911
ArtSimpleExample,5,ForTrust,13739.5,17.0,-0.2952014204573712,0.7627040521166131
ArtSimpleExample,5,Connected,10478.503343431754,24.0,0.04917762699216912,0.4896458398041209
ArtSimpleExample,5,Honest,11292.0,29.0,0.0739564185907174,1.1679708457300544
ArtSimpleExample,5,Uno,13862.0,24.0,-0.06619181733607367,0.5011088061169232
ArtSimpleExample,6,Cheating,8813.934999999987,10.0,2016.6691171201448,14896.13230229008
ArtSimpleExample,6,Next,13796.666666666666,32.0,0.029525501623814156,0.4602635292409871
ArtSimpleExample,6,FordPrefect,11950.0,16.0,0.056673658034107316,1.107649544118079
ArtSimpleExample,6,ForTrust,15253.0,15.0,0.17522206241427302,1.1555373593325051
ArtSimpleExample,6,Connected,12683.113016070838,26.0,-0.1485731405805818,0.4952928173426523
ArtSimpleExample,6,Honest,12679.99,14.0,0.20406856249683872,0.6803026324357219
ArtSimpleExample,6,Uno,16340.0,27.0,-0.0055579583602711055,0.47688670380385845
ArtSimpleExample,7,Cheating,8903.934999999987,1.0,32.06466666666667,0.0
ArtSimpleExample,7,Next,16716.666666666704,31.0,0.07420087466042721,0.6055376979569073
ArtSimpleExample,7,FordPrefect,13310.0,14.0,-0.17640936077018346,0.6476782472367273
ArtSimpleExample,7,ForTrust,16932.0,16.0,-0.33468395770196313,0.7448821600952534
ArtSimpleExample,7,Connected,14964.22646144899,27.0,0.06188088516466484,0.656445848711586
ArtSimpleExample,7,Honest,14673.98,21.0,-0.08616660245942595,0.7272443619415827
ArtSimpleExample,7,Uno,19136.0,30.0,-0.17019577852058296,0.6872323503657856
ArtSimpleExample,8,Cheating,9003.934999999987,1.0,-1.0,0.0
ArtSimpleExample,8,Next,19386.000000000095,27.0,-0.18218063898319875,0.49070950766177407
ArtSimpleExample,8,FordPrefect,15508.0,23.0,-0.14624744122838287,0.7670390925000202
ArtSimpleExample,8,ForTrust,18655.0,18.0,-0.5948287360350115,0.5241244185670125
ArtSimpleExample,8,Connected,16977.687245762725,25.0,0.1565100321137833,0.5214792855493832
ArtSimpleExample,8,Honest,16571.98,20.0,-0.42262123135283236,0.8520060090123857
